,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
0,Bruno Fernandes,27,37,37,"3,316",8.0,8.0,2.0,6.0,0.0,90,32,35.6,0.07,0.19,20.8,6.0,1498.0,2029.0,73.8,25425.0,8933.0,219.0,5.94,164.0,26.0,8.0,12.0,9.0,0.0,18.0,0.49,16.0,0.0,0.0,1.0,1.0,0.0,68.0,42,30.0,42.3,37.0,25,93.0,40.0,1.0,Manchester United,midfield,Portugal,74900000.0
1,Randal Kolo Muani,23,32,31,"2,631",15.0,11.0,2.0,6.0,1.0,75,30,40.0,0.17,0.43,13.0,0.0,419.0,649.0,64.6,5454.0,1212.0,105.0,3.59,60.0,0.0,20.0,12.0,13.0,0.0,22.0,0.75,13.0,0.0,4.0,2.0,3.0,0.0,14.0,10,1.0,11.1,19.0,3,17.0,13.0,0.0,Eintracht Frankfurt,Attack,France,64000000.0
2,Victor Osimhen,23,32,30,"2,566",26.0,4.0,2.0,4.0,0.0,132,52,39.4,0.18,0.46,12.8,1.0,276.0,400.0,69.0,3890.0,582.0,80.0,2.8,54.0,0.0,5.0,11.0,8.0,2.0,9.0,0.32,6.0,0.0,0.0,1.0,2.0,0.0,10.0,6,0.0,0.0,6.0,6,16.0,29.0,0.0,SSC Napoli,Attack,Nigeria,55000000.0
3,Bukayo Saka,20,38,37,"3,181",14.0,11.0,2.0,6.0,0.0,86,29,33.7,0.14,0.41,16.3,1.0,1054.0,1430.0,73.7,15405.0,3694.0,161.0,4.56,106.0,27.0,8.0,11.0,7.0,2.0,28.0,0.79,20.0,4.0,2.0,1.0,0.0,1.0,63.0,34,20.0,45.5,38.0,14,77.0,19.0,0.0,Arsenal FC,Attack,England,55000000.0
4,Vinicius Junior,22,33,32,"2,823",10.0,9.0,0.0,10.0,1.0,77,36,46.8,0.13,0.28,16.2,0.0,883.0,1153.0,76.6,11725.0,2422.0,161.0,5.13,103.0,2.0,27.0,11.0,17.0,1.0,21.0,0.67,12.0,0.0,4.0,4.0,0.0,1.0,30.0,21,14.0,35.9,24.0,6,36.0,1.0,0.0,Real Madrid,Attack,Brazil,50000000.0
5,Alejandro Balde,18,33,30,"2,471",1.0,6.0,0.0,4.0,0.0,19,4,21.1,0.05,0.25,17.9,0.0,1482.0,1670.0,88.7,21525.0,4340.0,66.0,2.4,50.0,0.0,8.0,2.0,5.0,1.0,8.0,0.29,8.0,0.0,0.0,0.0,0.0,0.0,42.0,30,24.0,58.5,25.0,12,54.0,17.0,1.0,FC Barcelona,Defender,Spain,46000000.0
6,Jamal Musiala,19,33,26,"2,198",12.0,10.0,0.0,1.0,0.0,66,25,37.9,0.18,0.48,15.8,0.0,857.0,1018.0,84.2,12410.0,2603.0,120.0,4.91,90.0,0.0,17.0,8.0,3.0,2.0,26.0,1.06,18.0,0.0,3.0,2.0,1.0,2.0,34.0,23,13.0,37.1,30.0,19,53.0,3.0,0.0,Bayern Munich,midfield,Germany,45000000.0
7,Martin Odegaard,23,37,37,"3,127",15.0,7.0,0.0,4.0,0.0,93,31,33.3,0.16,0.48,19.2,9.0,1449.0,1804.0,80.3,22540.0,6014.0,163.0,4.69,123.0,15.0,4.0,12.0,6.0,3.0,17.0,0.49,15.0,0.0,0.0,2.0,0.0,0.0,36.0,23,14.0,29.8,20.0,6,42.0,12.0,1.0,Arsenal FC,midfield,Norway,45000000.0
8,Rodrygo,21,34,25,"2,379",9.0,8.0,1.0,4.0,0.0,97,31,32.0,0.08,0.26,16.6,8.0,918.0,1050.0,87.4,10744.0,2092.0,133.0,5.03,78.0,5.0,25.0,9.0,15.0,1.0,21.0,0.79,12.0,0.0,6.0,0.0,3.0,0.0,17.0,10,4.0,17.4,23.0,8,25.0,5.0,0.0,Real Madrid,Attack,Brazil,40000000.0
9,Alexander Isak,22,2,2,152,1.0,0.0,0.0,0.0,0.0,3,1,33.3,0.33,1.0,12.0,0.0,17.0,30.0,56.7,236.0,60.0,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0,1.0,2.0,0.0,Newcastle United,Attack,Sweden,40000000.0
10,Josko Gvardiol,20,30,24,"2,170",1.0,0.0,0.0,2.0,0.0,14,4,28.6,0.07,0.25,14.2,0.0,1914.0,2149.0,89.1,38395.0,13386.0,29.0,1.2,27.0,0.0,1.0,1.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,23.0,17,9.0,40.9,34.0,34,57.0,76.0,1.0,RB Leipzig,Defender,Croatia,40000000.0
11,Jude Bellingham,19,31,30,"2,691",8.0,4.0,1.0,8.0,0.0,66,23,34.8,0.11,0.3,18.0,2.0,1342.0,1643.0,81.7,23692.0,7381.0,125.0,4.18,89.0,0.0,16.0,8.0,10.0,2.0,17.0,0.57,12.0,0.0,3.0,0.0,2.0,0.0,76.0,42,34.0,66.7,51.0,35,111.0,30.0,0.0,Real Madrid,midfield,England,40000000.0
12,Vitinha,22,17,12,"1,097",7.0,2.0,0.0,2.0,0.0,48,20,41.7,0.15,0.35,15.5,0.0,156.0,228.0,68.4,2392.0,441.0,41.0,3.36,25.0,0.0,3.0,8.0,4.0,1.0,8.0,0.66,5.0,0.0,0.0,2.0,1.0,0.0,22.0,9,6.0,42.9,17.0,4,26.0,17.0,0.0,Paris Saint-Germain,midfield,Portugal,36000000.0
13,Goncalo Ramos,21,30,30,"2,282",19.0,2.0,0.0,4.0,1.0,98,37,37.8,0.19,0.51,11.0,0.0,324.0,454.0,71.4,3968.0,782.0,46.0,1.81,23.0,0.0,7.0,9.0,6.0,1.0,8.0,0.32,3.0,0.0,2.0,2.0,1.0,0.0,20.0,12,7.0,31.8,10.0,3,23.0,35.0,0.0,SL Benfica,Attack,Portugal,36000000.0
14,William Saliba,21,27,27,"2,415",2.0,1.0,0.0,4.0,0.0,6,3,50.0,0.33,0.67,13.8,0.0,1698.0,1865.0,91.0,29692.0,11617.0,14.0,0.52,11.0,2.0,1.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,34.0,20,15.0,83.3,13.0,19,53.0,85.0,4.0,Arsenal FC,Defender,France,35000000.0
15,Amadou Onana,20,33,29,"2,488",1.0,2.0,0.0,9.0,0.0,34,6,17.6,0.03,0.17,16.8,0.0,816.0,980.0,83.3,13145.0,3007.0,45.0,1.63,35.0,0.0,1.0,2.0,5.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,72.0,43,30.0,71.4,25.0,37,109.0,39.0,0.0,Everton FC,midfield,Belgium,35000000.0
16,Gavi,17,36,30,"2,531",2.0,4.0,0.0,10.0,0.0,28,8,28.6,0.07,0.25,16.6,0.0,1026.0,1206.0,85.1,14584.0,2930.0,72.0,2.56,59.0,0.0,3.0,4.0,3.0,3.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,0.0,47.0,31,21.0,38.2,32.0,18,65.0,22.0,0.0,FC Barcelona,midfield,Spain,30000000.0
17,Bruno Guimaraes,24,32,32,"2,726",4.0,5.0,0.0,7.0,0.0,28,8,28.6,0.14,0.5,19.7,0.0,1387.0,1668.0,83.2,24038.0,6632.0,110.0,3.63,92.0,1.0,3.0,1.0,11.0,2.0,12.0,0.4,11.0,0.0,0.0,0.0,0.0,1.0,78.0,40,38.0,58.5,28.0,36,114.0,22.0,1.0,Newcastle United,midfield,Brazil,30000000.0
18,Giorgio Scalvini,18,32,29,"2,335",2.0,2.0,0.0,7.0,0.0,17,4,23.5,0.12,0.5,11.2,0.0,1205.0,1486.0,81.1,19877.0,8249.0,33.0,1.27,29.0,1.0,2.0,0.0,0.0,1.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,54.0,29,29.0,52.7,36.0,56,110.0,57.0,2.0,Atalanta BC,Defender,Italy,30000000.0
19,Erling Haaland,22,35,33,"2,769",36.0,8.0,7.0,5.0,0.0,116,53,45.7,0.25,0.55,12.6,0.0,360.0,500.0,72.0,4403.0,947.0,72.0,2.34,48.0,0.0,5.0,10.0,8.0,1.0,17.0,0.55,14.0,0.0,0.0,1.0,2.0,0.0,3.0,2,1.0,20.0,12.0,3,6.0,14.0,0.0,Manchester City,Attack,Norway,30000000.0
20,Ousmane Dembele,25,25,16,"1,410",5.0,7.0,0.0,4.0,0.0,49,16,32.7,0.1,0.31,16.7,0.0,642.0,854.0,75.2,10068.0,2037.0,86.0,5.48,52.0,13.0,15.0,3.0,3.0,0.0,12.0,0.76,9.0,0.0,2.0,1.0,0.0,0.0,19.0,12,4.0,26.7,10.0,0,19.0,2.0,0.0,FC Barcelona,Attack,France,30000000.0
21,Eduardo Camavinga,19,37,21,"2,010",0.0,1.0,0.0,6.0,0.0,18,3,16.7,0.0,0.0,23.2,0.0,1364.0,1504.0,90.7,21221.0,5654.0,72.0,3.23,55.0,0.0,5.0,3.0,9.0,0.0,5.0,0.22,3.0,0.0,0.0,1.0,1.0,0.0,68.0,48,24.0,37.5,24.0,17,85.0,25.0,0.0,Real Madrid,midfield,France,30000000.0
22,Federico Valverde,24,34,29,"2,502",7.0,4.0,0.0,2.0,0.0,63,21,33.3,0.11,0.33,22.7,2.0,1427.0,1641.0,87.0,21092.0,4276.0,81.0,2.91,77.0,0.0,2.0,1.0,1.0,0.0,14.0,0.5,13.0,0.0,1.0,0.0,0.0,0.0,31.0,20,13.0,50.0,31.0,17,48.0,15.0,0.0,Real Madrid,midfield,Uruguay,30000000.0
23,Nicolas Jackson,21,26,16,"1,598",12.0,4.0,0.0,6.0,1.0,41,23,56.1,0.29,0.52,13.4,0.0,246.0,325.0,75.7,3440.0,710.0,47.0,2.65,31.0,1.0,8.0,5.0,2.0,0.0,14.0,0.79,4.0,0.0,7.0,2.0,1.0,0.0,14.0,11,2.0,25.0,18.0,2,16.0,4.0,0.0,Chelsea FC,Attack,Senegal,29000000.0
24,Morgan Gibbs-White,22,35,34,"2,971",5.0,8.0,2.0,5.0,0.0,57,19,33.3,0.05,0.16,20.0,3.0,659.0,1078.0,61.1,10717.0,3931.0,119.0,3.6,72.0,27.0,9.0,6.0,2.0,3.0,12.0,0.36,6.0,3.0,1.0,2.0,0.0,0.0,26.0,14,11.0,34.4,23.0,14,40.0,15.0,0.0,Nottingham Forest,midfield,England,29000000.0
25,Nicolo Fagioli,21,26,17,"1,520",3.0,3.0,0.0,3.0,0.0,13,8,61.5,0.23,0.38,19.7,0.0,505.0,607.0,83.2,8123.0,1759.0,39.0,2.31,25.0,4.0,1.0,4.0,5.0,0.0,7.0,0.41,4.0,1.0,0.0,0.0,2.0,0.0,29.0,19,8.0,29.6,16.0,8,37.0,7.0,1.0,Juventus FC,midfield,Italy,28500000.0
26,Lois Openda,22,38,29,"2,517",21.0,4.0,1.0,2.0,0.0,103,49,47.6,0.19,0.41,13.1,0.0,297.0,443.0,67.0,4347.0,944.0,67.0,2.4,39.0,1.0,10.0,10.0,6.0,1.0,12.0,0.43,6.0,0.0,3.0,3.0,0.0,0.0,11.0,9,2.0,15.4,9.0,2,13.0,6.0,0.0,RC Lens,Attack,Belgium,27500000.0
27,Folarin Balogun,21,37,34,"2,999",21.0,2.0,6.0,5.0,0.0,121,50,41.3,0.12,0.3,15.2,2.0,408.0,582.0,70.1,5755.0,1189.0,80.0,2.4,50.0,1.0,11.0,11.0,6.0,1.0,10.0,0.3,4.0,0.0,2.0,2.0,2.0,0.0,9.0,5,2.0,10.0,20.0,3,12.0,15.0,0.0,Arsenal FC,Attack,United States,26000000.0
28,Nuno Mendes,20,23,18,"1,548",1.0,6.0,0.0,2.0,0.0,10,7,70.0,0.1,0.14,13.7,0.0,793.0,932.0,85.1,11300.0,3442.0,45.0,2.62,39.0,0.0,4.0,1.0,0.0,1.0,7.0,0.41,7.0,0.0,0.0,0.0,0.0,0.0,45.0,30,30.0,73.2,19.0,17,62.0,18.0,0.0,Paris Saint-Germain,Defender,Portugal,25000000.0
29,Aurelien Tchouameni,22,33,24,"2,119",0.0,4.0,0.0,2.0,0.0,38,6,15.8,0.0,0.0,22.1,0.0,1578.0,1700.0,92.8,25016.0,7823.0,63.0,2.67,53.0,1.0,2.0,3.0,3.0,1.0,12.0,0.51,11.0,0.0,0.0,0.0,1.0,0.0,64.0,40,23.0,60.5,20.0,49,113.0,50.0,0.0,Real Madrid,midfield,France,25000000.0
30,Antony,20,33,26,"2,375",6.0,1.0,0.0,3.0,0.0,52,16,30.8,0.12,0.38,18.5,0.0,479.0,651.0,73.6,6738.0,1644.0,65.0,2.46,45.0,0.0,10.0,6.0,2.0,2.0,9.0,0.34,4.0,0.0,4.0,0.0,1.0,0.0,51.0,35,18.0,39.1,26.0,25,76.0,18.0,0.0,Manchester United,Attack,Brazil,25000000.0
31,Cody Gakpo,23,21,17,"1,458",7.0,2.0,0.0,0.0,0.0,39,12,30.8,0.18,0.58,14.8,0.0,293.0,392.0,74.7,3928.0,1110.0,49.0,3.02,37.0,0.0,3.0,4.0,3.0,2.0,6.0,0.37,5.0,0.0,0.0,0.0,1.0,0.0,26.0,15,13.0,34.2,13.0,4,30.0,2.0,0.0,Liverpool FC,Attack,Netherlands,25000000.0
32,Gabriel Jesus,25,26,24,"2,064",11.0,6.0,1.0,6.0,0.0,76,31,40.8,0.13,0.32,10.6,0.0,561.0,699.0,80.3,8525.0,1644.0,83.0,3.62,43.0,1.0,12.0,11.0,13.0,3.0,12.0,0.52,8.0,0.0,1.0,1.0,2.0,0.0,33.0,25,15.0,48.4,27.0,11,44.0,15.0,1.0,Arsenal FC,Attack,Brazil,25000000.0
33,Dango Ouattara,20,18,18,"1,548",6.0,5.0,0.0,3.0,1.0,52,17,32.7,0.12,0.35,16.6,4.0,267.0,444.0,60.1,3726.0,1232.0,63.0,3.67,31.0,1.0,12.0,5.0,11.0,3.0,15.0,0.87,6.0,0.0,4.0,1.0,3.0,1.0,41.0,26,15.0,53.6,24.0,19,60.0,21.0,0.0,AFC Bournemouth,Attack,Burkina Faso,24100000.0
34,Khephren Thuram,21,35,30,"2,547",2.0,4.0,0.0,3.0,0.0,38,9,23.7,0.05,0.22,18.4,0.0,1155.0,1358.0,85.1,18557.0,4343.0,84.0,2.97,57.0,1.0,14.0,6.0,3.0,3.0,7.0,0.25,5.0,0.0,1.0,1.0,0.0,0.0,51.0,25,19.0,44.2,33.0,38,89.0,34.0,0.0,OGC Nice,midfield,France,23000000.0
35,Elye Wahi,19,33,29,"2,513",19.0,5.0,1.0,8.0,1.0,62,36,58.1,0.29,0.5,14.5,1.0,299.0,440.0,68.0,3580.0,635.0,51.0,1.83,29.0,0.0,5.0,8.0,8.0,1.0,12.0,0.43,4.0,0.0,2.0,4.0,2.0,0.0,9.0,3,5.0,35.7,14.0,3,12.0,5.0,0.0,Montpellier HSC,Attack,France,23000000.0
36,Brennan Johnson,21,38,33,"2,934",8.0,3.0,1.0,6.0,0.0,52,24,46.2,0.13,0.29,16.6,0.0,291.0,505.0,57.6,4220.0,809.0,55.0,1.69,36.0,0.0,6.0,7.0,5.0,1.0,11.0,0.34,5.0,0.0,1.0,3.0,2.0,0.0,34.0,20,8.0,28.6,30.0,5,39.0,7.0,1.0,Nottingham Forest,midfield,Wales,23000000.0
37,Adrien Rabiot,27,32,31,"2,748",8.0,4.0,0.0,9.0,0.0,48,22,45.8,0.17,0.36,16.4,0.0,971.0,1191.0,81.5,15511.0,4279.0,82.0,2.69,68.0,0.0,3.0,6.0,3.0,2.0,8.0,0.26,5.0,0.0,1.0,1.0,1.0,0.0,65.0,35,30.0,52.6,37.0,26,91.0,44.0,1.0,Juventus FC,midfield,France,23000000.0
38,Andre Onana,26,24,24,"2,160",0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,837.0,1030.0,81.3,20562.0,13611.0,8.0,0.33,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5.0,0.0,Inter Milan,Goalkeeper,Cameroon,23000000.0
39,Nayef Aguerd,26,18,17,"1,595",2.0,0.0,0.0,4.0,0.0,12,2,16.7,0.17,1.0,9.9,0.0,599.0,763.0,78.5,12203.0,5332.0,14.0,0.79,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18,13.0,65.0,26.0,18,45.0,79.0,2.0,West Ham United,Defender,Morocco,23000000.0
40,Joelinton,25,32,30,"2,661",6.0,1.0,0.0,12.0,0.0,51,19,37.3,0.12,0.32,14.6,0.0,1035.0,1268.0,81.6,15180.0,4014.0,80.0,2.71,54.0,1.0,9.0,8.0,7.0,1.0,10.0,0.34,4.0,1.0,2.0,2.0,1.0,0.0,70.0,49,26.0,41.9,52.0,48,118.0,39.0,0.0,Newcastle United,midfield,Brazil,22000000.0
41,Dominik Szoboszlai,21,31,28,"2,444",6.0,8.0,1.0,5.0,2.0,58,28,48.3,0.09,0.18,23.2,9.0,1262.0,1580.0,79.9,21421.0,5686.0,150.0,5.52,94.0,31.0,8.0,5.0,10.0,2.0,17.0,0.63,11.0,3.0,0.0,1.0,2.0,0.0,45.0,28,17.0,40.5,43.0,17,62.0,27.0,0.0,Liverpool FC,midfield,Hungary,22000000.0
42,Diogo Dalot,23,26,24,"2,154",1.0,2.0,0.0,6.0,0.0,22,7,31.8,0.05,0.14,19.9,0.0,1141.0,1441.0,79.2,20816.0,6349.0,52.0,2.17,48.0,0.0,1.0,2.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,54.0,41,33.0,73.3,25.0,37,91.0,55.0,2.0,Manchester United,Defender,Portugal,20000000.0
43,Stanislav Lobotka,27,38,34,"3,101",1.0,1.0,0.0,2.0,0.0,11,4,36.4,0.09,0.25,22.3,0.0,2163.0,2301.0,94.0,35855.0,8577.0,70.0,2.03,58.0,1.0,1.0,2.0,5.0,3.0,8.0,0.23,6.0,1.0,0.0,1.0,0.0,0.0,83.0,44,43.0,58.9,29.0,23,106.0,16.0,0.0,SSC Napoli,midfield,Slovakia,20000000.0
44,Rafael Leao,23,35,28,"2,421",15.0,8.0,0.0,7.0,1.0,92,29,31.5,0.16,0.52,17.9,0.0,595.0,845.0,70.4,10191.0,3212.0,123.0,4.57,80.0,3.0,24.0,8.0,8.0,0.0,18.0,0.67,12.0,1.0,4.0,0.0,1.0,0.0,8.0,7,6.0,42.9,9.0,15,23.0,8.0,0.0,AC Milan,Attack,Portugal,20000000.0
45,Marcus Rashford,24,35,32,"2,879",17.0,5.0,0.0,2.0,0.0,108,49,45.4,0.16,0.35,16.4,7.0,627.0,817.0,76.7,8886.0,2180.0,98.0,3.06,61.0,1.0,17.0,14.0,4.0,1.0,14.0,0.44,8.0,0.0,3.0,2.0,1.0,0.0,20.0,10,9.0,37.5,31.0,7,27.0,14.0,0.0,Manchester United,Attack,England,20000000.0
46,Cheick Doucoure,22,34,34,"2,769",0.0,3.0,0.0,10.0,1.0,36,7,19.4,0.0,0.0,24.6,0.0,1038.0,1247.0,83.2,17432.0,5352.0,61.0,1.98,48.0,0.0,2.0,5.0,2.0,4.0,6.0,0.2,4.0,0.0,0.0,1.0,0.0,1.0,77.0,46,29.0,55.8,47.0,56,133.0,48.0,0.0,Crystal Palace,midfield,Mali,20000000.0
47,Kylian Mbappe,23,34,32,"2,818",29.0,5.0,3.0,6.0,0.0,144,73,50.7,0.18,0.36,15.9,1.0,1096.0,1355.0,80.9,14622.0,3137.0,143.0,4.57,96.0,3.0,19.0,15.0,10.0,0.0,23.0,0.73,12.0,0.0,4.0,5.0,2.0,0.0,10.0,4,5.0,31.3,5.0,5,15.0,6.0,0.0,Paris Saint-Germain,Attack,France,20000000.0
